Symptom,Category
Muscle Wasting,Musculoskeletal Symptoms
Lethargy,Neurological Symptoms
Drying and Tingling Lips,Dermatological Symptoms
Yellow Crust Ooze,Dermatological Symptoms
Toxic Look (Typhos),Gastrointestinal Signs
Slurred Speech,Neurological Symptoms
Sweating,Systemic Symptoms
Unsteadiness,Neurological Symptoms
Polyuria,Urinary Symptoms
Burning Micturition,Gastrointestinal Symptoms
Internal Itching,Gastrointestinal Signs
Blackheads,Dermatological Symptoms
Joint Pain,Musculoskeletal Symptoms
Restlessness,Neurological Symptoms
Painful Walking,Musculoskeletal Symptoms
Continuous Feel of Urine,Urinary Symptoms
Altered Sensorium,Neurological Symptoms
Dehydration,Systemic Symptoms
Mucoid Sputum,Respiratory Symptoms
Phlegm,Respiratory Symptoms
Bruising,Musculoskeletal Symptoms
Bloody Stool,Gastrointestinal Signs
Distention of Abdomen,Systemic Symptoms
Abdominal Pain,Gastrointestinal Symptoms
Nausea,Gastrointestinal Symptoms
Indigestion,Gastrointestinal Symptoms
Spinning Movements,Neurological Symptoms
Fluid Overload,Systemic Symptoms
Weakness of One Body Side,Neurological Symptoms
Yellowish Skin,Systemic Symptoms
Enlarged Thyroid,Endocrine Symptoms
Malaise,Systemic Symptoms
Nodal Skin Eruptions,Dermatological Symptoms
Excessive Hunger,Endocrine Symptoms
Stomach Pain,Gastrointestinal Symptoms
Sunken Eyes,Systemic Symptoms
Loss of Appetite,Gastrointestinal Symptoms
Blurred and Distorted Vision,Visual Symptoms
Mood Swings,Neurological Symptoms
Redness of Eyes,Visual Symptoms
Knee Pain,Musculoskeletal Symptoms
Red Spots Over Body,Dermatological Symptoms
Silver Like Dusting,Dermatological Symptoms
Inflammatory Nails,Dermatological Symptoms
Red Sore Around Nose,Dermatological Symptoms
Passage of Gases,Gastrointestinal Signs
Muscle Pain,Musculoskeletal Symptoms
Cold Hands and Feet,Vascular Symptoms
Weight Loss,Endocrine Symptoms
Fast Heart Rate,Vascular Symptoms
Chest Pain,Respiratory Symptoms
Spotting Urination,Gastrointestinal Symptoms
Sinus Pressure,Respiratory Symptoms
Neck Pain,Neurological Symptoms
Weakness in Limbs,Neurological Symptoms
Swollen Legs,Vascular Symptoms
Back Pain,Musculoskeletal Symptoms
Irritability,Behavioral Symptoms
Brittle Nails,Dermatological Symptoms
Pain During Bowel Movements,Musculoskeletal Symptoms
Pain Behind the Eyes,Gastrointestinal Signs
Skin Peeling,Dermatological Symptoms
Watering from Eyes,Respiratory Symptoms
Increased Appetite,Gastrointestinal Symptoms
Vomiting,Gastrointestinal Symptoms
Visual Disturbances,Visual Symptoms
Swollen Extremities,Musculoskeletal Symptoms
Pain in Anal Region,Musculoskeletal Symptoms
Headache,Neurological Symptoms
Scurring,Dermatological Symptoms
Congestion,Systemic Symptoms
Fatigue,Systemic Symptoms
Yellowing of Eyes,Visual Symptoms
Rusty Sputum,Respiratory Symptoms
Pus Filled Pimples,Dermatological Symptoms
Hip Joint Pain,Musculoskeletal Symptoms
Family History,Behavioral Symptoms
Irregular Sugar Level,Endocrine Symptoms
Dischromic Patches,Dermatological Symptoms
Irritation in Anus,Gastrointestinal Signs
Receiving Unsterile Injections,Behavioral Symptoms
Stomach Bleeding,Gastrointestinal Symptoms
Itching,Dermatological Symptoms
Runny Nose,Respiratory Symptoms
Obesity,Endocrine Symptoms
Swelling Joints,Musculoskeletal Symptoms
History of Alcohol Consumption,Systemic Symptoms
Acidity,Gastrointestinal Symptoms
Extra Marital Contacts,Behavioral Symptoms
Lack of Concentration,Behavioral Symptoms
Receiving Blood Transfusion,Behavioral Symptoms
Ulcers on Tongue,Gastrointestinal Symptoms
Loss of Smell,Neurological Symptoms
Dizziness,Neurological Symptoms
Swelling of Stomach,Systemic Symptoms
Mild Fever,Systemic Symptoms
Shivering,Neurological Symptoms
Swelled Lymph Nodes,Systemic Symptoms
Continuous Sneezing,Respiratory Symptoms
Patches in Throat,Gastrointestinal Symptoms
Abnormal Menstruation,Gastrointestinal Signs
Swollen Blood Vessels,Vascular Symptoms
Chills,Systemic Symptoms
Stiff Neck,Musculoskeletal Symptoms
Skin Rash,Dermatological Symptoms
Throat Irritation,Respiratory Symptoms
Movement Stiffness,Musculoskeletal Symptoms
Palpitations,Vascular Symptoms
Anxiety,Neurological Symptoms
Diarrhoea,Gastrointestinal Symptoms
Loss of Balance,Neurological Symptoms
Cough,Respiratory Symptoms
Coma,Behavioral Symptoms
Breathlessness,Respiratory Symptoms
Constipation,Gastrointestinal Symptoms
Puffy Face and Eyes,Vascular Symptoms
Blood in Sputum,Respiratory Symptoms
Dark Urine,Urinary Symptoms
Foul Smell of Urine,Urinary Symptoms
Cramps,Musculoskeletal Symptoms
High Fever,Systemic Symptoms
Weight Gain,Endocrine Symptoms
Depression,Neurological Symptoms
Prominent Veins on Calf,Vascular Symptoms
Small Dents in Nails,Dermatological Symptoms
Bladder Discomfort,Urinary Symptoms
Belly Pain,Gastrointestinal Symptoms
Blister,Dermatological Symptoms
Acute Liver Failure,Systemic Symptoms
Muscle Weakness,Musculoskeletal Symptoms
Yellow Urine,Urinary Symptoms
